Date,Ticker Symbol,Security Name,Volume Count,Opening Price,Highest Price,Lowest Price,Closing Price,Net Change
2024-01-01,ABL,Allied Bank Ltd,19000,83,83,85,83,83.95
2024-01-01,AKBL,Askari Bank,2276500,24.72,25,25,24.55,24.81
2024-01-01,BAFL,Bank Al-Falah,1388329,48.51,48.9,50.02,48.74,49.2
2024-01-01,BAHL,Bank AL-Habib,605603,80.54,80.99,83.84,80.49,83.08
2024-01-01,BIPL,Bankislami Pak.,1366597,22.2,22.4,22.84,22.2,22.51
2024-01-01,BML,Bank Makramah,1431000,2.28,2.34,2.4,2.25,2.37
2024-01-01,BOK,Bank Of Khyber,16500,12.17,11.5,13.17,11.5,13.17
2024-01-01,BOP,B.O.Punjab,32263113,6.48,6.48,6.99,6.48,6.94
2024-01-01,FABL,Faysal Bank,918947,32.58,32.9,33.75,32.9,33.3
2024-01-01,HBL,Habib Bank,2877447,110.84,110.83,116.5,110.83,115.75
2024-01-01,HMB,Habib Metropol.,172500,55.32,55.98,57,54.1,56.06
2024-01-01,JSBL,JS Bank Ltd,349500,9.04,9.15,9.69,8.76,9.5
2024-01-01,MCB,MCB Bank Ltd,317535,172.55,171.25,180,171.25,179.07
2024-01-01,MEBL,Meezan Bank,603653,161.36,162,166.3,161.36,164.34
2024-01-01,NBP,National BankXD,1779000,32.11,32.47,33.37,32.3,33.09
2024-01-01,SBL,Samba Bank,3000,10.59,9.71,10.94,9.7,10.9
2024-01-01,SCBPL,St.Chart.Bank,44000,35.45,35.6,35.9,34.51,35.9
2024-01-01,SILK,Silk Bank Ltd,3469500,1.09,1.12,1.17,1.09,1.15
2024-01-01,SNBL,Soneri Bank Ltd,334500,10.5,10.68,10.75,10.31,10.69
2024-01-01,UBL,United Bank,720201,177.84,176.48,184.9,176.48,184.32
2023-12-29,ABL,Allied Bank Ltd,4500,83.92,83,84,83,83
2023-12-29,AKBL,Askari Bank,19881500,23.24,23.5,24.9,23.06,24.72
2023-12-29,BAFL,Bank Al-Falah,1074218,48.92,49,49,48.35,48.51
2023-12-29,BAHL,Bank AL-Habib,2352331,82.66,83.85,83.85,79.7,80.54
2023-12-29,BIPL,Bankislami Pak.,3328542,21.41,21.54,22.65,21.25,22.2
2023-12-29,BML,Bank Makramah,887000,2.28,2.25,2.29,2.21,2.28
2023-12-29,BOK,Bank Of Khyber,19000,11.8,11.49,12.5,11.49,12.17
2023-12-29,BOP,B.O.Punjab,13593767,6.39,6.4,6.53,6.25,6.48
2023-12-29,FABL,Faysal Bank,928880,32.81,32.82,33.43,32.3,32.58
2023-12-29,HBL,Habib Bank,1490758,111.16,111.01,112,109.55,110.84
2023-12-29,HMB,Habib Metropol.,118000,54.23,54.5,55.95,54.5,55.32
2023-12-29,JSBL,JS Bank Ltd,730500,8.96,8.9,9.2,8.75,9.04
2023-12-29,MCB,MCB Bank Ltd,308816,174.21,175.97,175.97,171.05,172.55
2023-12-29,MEBL,Meezan Bank,694657,162.04,162,163.66,160,161.36
2023-12-29,NBP,National BankXD,1387000,33.07,33.35,33.35,31.9,32.11
2023-12-29,SCBPL,St.Chart.Bank,5500,35.5,34.65,35.5,34.65,35.45
2023-12-29,SILK,Silk Bank Ltd,2368000,1.1,1.1,1.12,1.08,1.09
2023-12-29,SNBL,Soneri Bank Ltd,248500,10.51,10.17,10.75,10.17,10.5
2023-12-29,UBL,United Bank,427117,174.57,174.85,178.8,174.11,177.84
2023-12-28,ABL,Allied Bank Ltd,14500,82.99,85,85,82.01,83.92
2023-12-28,AKBL,Askari Bank,42409000,21.97,22,23.44,21.9,23.24
2023-12-28,BAFL,Bank Al-Falah,1525875,47.01,46.51,49.65,46.51,48.92
2023-12-28,BAHL,Bank AL-Habib,3547988,77.98,77.5,83.83,76.51,82.66
2023-12-28,BIPL,Bankislami Pak.,4231002,20.07,20.11,21.58,20,21.41
2023-12-28,BML,Bank Makramah,855500,2.21,2.2,2.32,2.2,2.28
2023-12-28,BOK,Bank Of Khyber,1000,10.88,11.8,11.8,11.8,11.8
2023-12-28,BOP,B.O.Punjab,22478844,6.31,6.39,6.64,6.32,6.39
2023-12-28,FABL,Faysal Bank,3361018,31.71,31.99,33.8,29.53,32.81
2023-12-28,HBL,Habib Bank,3342584,110.03,111.26,113.49,110.2,111.16
2023-12-28,HMB,Habib Metropol.,267000,53,53.5,54.98,53,54.23
2023-12-28,JSBL,JS Bank Ltd,753500,8.92,9,9.1,8.75,8.96
2023-12-28,MCB,MCB Bank Ltd,733636,170.43,171.25,175.87,171,174.21
2023-12-28,MEBL,Meezan Bank,2399892,157.97,158.99,166,158.99,162.04
2023-12-28,NBP,National BankXD,2452500,33.47,33.75,33.88,32.95,33.07
2023-12-28,SBL,Samba Bank,1500,10.74,10.1,10.59,10.1,10.59
2023-12-28,SCBPL,St.Chart.Bank,35500,34.99,35.5,35.65,35.02,35.5
2023-12-28,SILK,Silk Bank Ltd,2251000,1.09,1.12,1.14,1.09,1.1
2023-12-28,SNBL,Soneri Bank Ltd,188000,10.25,10.28,10.56,10.28,10.51
2023-12-28,UBL,United Bank,902374,171.67,172.8,177.79,172.2,174.57
